order_ym,revenue,cost,profit,discount_amount,shipping_cost,quantity,lines,orders,customers,returned_orders,measured_orders,profit_margin_pct,avg_order_value,return_rate_pct,revenue_mom_pct,revenue_yoy_pct,profit_mom_pct,profit_yoy_pct
2013-09,376619.24568,337713.57790000003,38905.667779999996,72789.09432,38488.4,5793,1682,837,503,33,675,10.330238888815778,449.96325648745517,4.888888888888889,15.354418881661536,30.142828549605817,25.406406499484604,40.068459031325546
2013-10,293406.64288,250973.4203,42433.222579999994,50503.66712,31174.684,3883,1100,582,401,41,502,14.462256942612816,504.1351252233677,8.167330677290837,-22.094623085380714,15.998583318525261,9.066943202073464,38.38627957833853
2013-11,373989.3601,325926.36340000003,48062.996699999996,70324.9799,41407.167,5556,1596,793,513,46,647,12.851434245923082,471.61331664564943,7.109737248840804,27.46451696833512,15.602783869530047,13.267373481677257,51.043075019121645
2013-12,405454.37802,355251.5069,50202.871119999996,71197.32198,43183.8,5694,1602,828,508,32,661,12.381879156210177,489.6792005072464,4.841149773071105,8.413345746410172,19.86578786401263,4.452228464564301,52.357288193304406
2014-01,241268.55565999998,213267.16939999998,28001.38626,45877.86433999999,24870.801,3122,918,450,344,23,343,11.605899568388041,536.1523459111111,6.705539358600583,-40.49427784250024,21.12732212511208,-44.22353615380234,4.4416326783671245
2014-02,184837.35556,165085.6556,19751.699959999998,38516.604439999996,19525.8,2482,756,385,317,22,289,10.68598925804714,480.09702742857144,7.612456747404845,-23.389372040475862,10.522447946949299,-29.461706729086778,-16.878681949578535
2014-03,263100.77262,225743.5121,37357.260519999996,43519.24738,26838.63554,3722,1068,531,386,29,418,14.19884105545961,495.48168101694915,6.937799043062201,42.34177492038125,32.48171279923264,89.13440663666299,59.41631737004389
2014-04,242771.86130000002,218989.5601,23782.301199999998,46268.4887,26272.718,3594,1051,525,383,19,421,9.796152269315735,462.42259295238097,4.513064133016627,-7.726663482422113,36.525735842143845,-36.33820877398748,22.198408318424832
2014-05,288401.04614,254447.4884,33953.55774,55308.04386,31882.583,4300,1284,669,443,31,541,11.77303556781058,431.0927446038864,5.730129390018484,18.79508794621576,10.711184329224066,42.76817644543161,19.153292496917974
2014-06,401814.0631,358035.4603,43778.6028,73116.89689999999,41894.076,6009,1748,902,542,35,693,10.895239072084134,445.47013647450115,5.05050505050505,39.32475921219278,1.335230601742654,28.93671742806887,-3.7376207147982843
2014-07,258705.68048,230669.8079,28035.87258,51803.52952,29581.733,3637,1087,541,375,23,412,10.83697602927872,478.1990397042514,5.582524271844661,-35.6155734112234,12.51548716666182,-35.959873575499316,-2.8684852298450636
2014-08,456619.94236,403077.04740000004,53542.89496,80294.35764,46759.353,5824,1675,849,513,39,655,11.725921273448606,537.8326765135454,5.9541984732824424,76.50170707994961,39.85777069255263,90.97994830450182,72.58724586047873
2014-09,481157.2437,413177.7926,67979.4511,77194.06629999999,53485.43,6837,2018,1022,574,52,814,14.128323326747,470.799651369863,6.388206388206388,5.373681493887705,27.75694530194621,26.962599147440656,74.72891478024133
2014-10,422766.62916,364556.7944,58209.83476,71600.43084,44622.414,5876,1626,810,507,30,700,13.768786546766428,521.934110074074,4.285714285714286,-12.13545370136968,44.08897665377902,-14.371425749861643,37.17985865970024
2014-11,555279.027,492422.4391,62856.5879,103707.333,59918.355,7706,2147,1082,592,55,877,11.319820278391317,513.1968826247689,6.2713797035347785,31.34410066927242,48.47455201707489,7.982762980102298,30.77958557669378
2014-12,503143.69348,456227.1728,46916.52068,106003.45651999999,54853.891,7513,2153,1102,589,45,872,9.324676287901228,456.5732245735027,5.160550458715597,-9.389033438138473,24.093787305259106,-25.359421744876474,-6.5461404232132985
