cohort_month,period_index,retention_pct,active_customers,cohort_size,cohort_month_sort
2011-02,17,33.06,41,124,201102
2011-02,18,41.94,52,124,201102
2011-02,19,59.68,74,124,201102
2011-02,20,37.9,47,124,201102
2011-02,21,60.48,75,124,201102
2011-02,22,45.97,57,124,201102
2011-02,23,33.06,41,124,201102
2011-02,24,29.84,37,124,201102
2011-02,25,41.94,52,124,201102
2011-02,26,36.29,45,124,201102
2011-02,27,50.0,62,124,201102
2011-02,28,56.45,70,124,201102
2011-02,29,39.52,49,124,201102
2011-02,30,60.48,75,124,201102
2011-02,31,58.06,72,124,201102
2011-02,32,50.81,63,124,201102
2011-02,33,64.52,80,124,201102
2011-02,34,64.52,80,124,201102
2011-02,35,32.26,40,124,201102
2011-02,36,38.71,48,124,201102
2011-02,37,54.03,67,124,201102
2011-02,38,45.16,56,124,201102
2011-02,39,56.45,70,124,201102
2011-02,40,70.16,87,124,201102
2011-02,41,49.19,61,124,201102
2011-02,42,62.9,78,124,201102
2011-02,43,70.16,87,124,201102
2011-02,44,63.71,79,124,201102
2011-02,45,69.35,86,124,201102
2011-02,46,71.77,89,124,201102
2011-02,47,0.0,0,124,201102
2011-03,0,100.0,146,146,201103
2011-03,1,30.14,44,146,201103
2011-03,2,30.14,44,146,201103
2011-03,3,38.36,56,146,201103
2011-03,4,26.71,39,146,201103
2011-03,5,32.88,48,146,201103
2011-03,6,42.47,62,146,201103
2011-03,7,40.41,59,146,201103
2011-03,8,50.68,74,146,201103
2011-03,9,48.63,71,146,201103
2011-03,10,25.34,37,146,201103
2011-03,11,21.23,31,146,201103
2011-03,12,34.25,50,146,201103
2011-03,13,32.88,48,146,201103
2011-03,14,41.1,60,146,201103
2011-03,15,45.89,67,146,201103
2011-03,16,28.08,41,146,201103
2011-03,17,53.42,78,146,201103
2011-03,18,56.16,82,146,201103
2011-03,19,55.48,81,146,201103
2011-03,20,60.96,89,146,201103
2011-03,21,58.22,85,146,201103
2011-03,22,33.56,49,146,201103
2011-03,23,30.14,44,146,201103
2011-03,24,40.41,59,146,201103
2011-03,25,34.93,51,146,201103
2011-03,26,43.84,64,146,201103
2011-03,27,58.22,85,146,201103
2011-03,28,41.78,61,146,201103
2011-03,29,57.53,84,146,201103
2011-03,30,60.27,88,146,201103
2011-03,31,49.32,72,146,201103
2011-03,32,60.27,88,146,201103
2011-03,33,59.59,87,146,201103
2011-03,34,41.78,61,146,201103
2011-03,35,39.73,58,146,201103
2011-03,36,51.37,75,146,201103
2011-03,37,47.26,69,146,201103
2011-03,38,57.53,84,146,201103
2011-03,39,66.44,97,146,201103
2011-03,40,48.63,71,146,201103
2011-03,41,60.27,88,146,201103
2011-03,42,76.03,111,146,201103
2011-03,43,65.07,95,146,201103
2011-03,44,72.6,106,146,201103
2011-03,45,76.71,112,146,201103
2011-03,46,0.0,0,146,201103
2011-03,47,0.0,0,146,201103
2011-04,0,100.0,97,97,201104
2011-04,1,28.87,28,97,201104
2011-04,2,45.36,44,97,201104
2011-04,3,30.93,30,97,201104
2011-04,4,40.21,39,97,201104
2011-04,5,49.48,48,97,201104
2011-04,6,43.3,42,97,201104
2011-04,7,42.27,41,97,201104
2011-04,8,54.64,53,97,201104
2011-04,9,27.84,27,97,201104
2011-04,10,23.71,23,97,201104
2011-04,11,46.39,45,97,201104
2011-04,12,31.96,31,97,201104
2011-04,13,39.18,38,97,201104
2011-04,14,65.98,64,97,201104
2011-04,15,34.02,33,97,201104
2011-04,16,48.45,47,97,201104
2011-04,17,52.58,51,97,201104
2011-04,18,47.42,46,97,201104
2011-04,19,55.67,54,97,201104
2011-04,20,52.58,51,97,201104
2011-04,21,32.99,32,97,201104
2011-04,22,35.05,34,97,201104
2011-04,23,37.11,36,97,201104
2011-04,24,35.05,34,97,201104
2011-04,25,50.52,49,97,201104
2011-04,26,60.82,59,97,201104
2011-04,27,48.45,47,97,201104
2011-04,28,44.33,43,97,201104
2011-04,29,59.79,58,97,201104
2011-04,30,57.73,56,97,201104
2011-04,31,68.04,66,97,201104
2011-04,32,59.79,58,97,201104
2011-04,33,47.42,46,97,201104
2011-04,34,50.52,49,97,201104
2011-04,35,51.55,50,97,201104
2011-04,36,48.45,47,97,201104
2011-04,37,54.64,53,97,201104
2011-04,38,73.2,71,97,201104
2011-04,39,40.21,39,97,201104
2011-04,40,59.79,58,97,201104
2011-04,41,79.38,77,97,201104
2011-04,42,61.86,60,97,201104
2011-04,43,71.13,69,97,201104
2011-04,44,76.29,74,97,201104
2011-04,45,0.0,0,97,201104
2011-04,46,0.0,0,97,201104
2011-04,47,0.0,0,97,201104
2011-05,0,100.0,54,54,201105
2011-05,1,42.59,23,54,201105
2011-05,2,27.78,15,54,201105
2011-05,3,42.59,23,54,201105
2011-05,4,51.85,28,54,201105
2011-05,5,48.15,26,54,201105
2011-05,6,51.85,28,54,201105
2011-05,7,46.3,25,54,201105
2011-05,8,24.07,13,54,201105
2011-05,9,27.78,15,54,201105
2011-05,10,35.19,19,54,201105
2011-05,11,35.19,19,54,201105
2011-05,12,35.19,19,54,201105
2011-05,13,57.41,31,54,201105
2011-05,14,27.78,15,54,201105
2011-05,15,40.74,22,54,201105
2011-05,16,64.81,35,54,201105
2011-05,17,53.7,29,54,201105
2011-05,18,68.52,37,54,201105
2011-05,19,59.26,32,54,201105
2011-05,20,38.89,21,54,201105
2011-05,21,24.07,13,54,201105
2011-05,22,35.19,19,54,201105
2011-05,23,35.19,19,54,201105
2011-05,24,51.85,28,54,201105
2011-05,25,61.11,33,54,201105
2011-05,26,33.33,18,54,201105
2011-05,27,50.0,27,54,201105
2011-05,28,62.96,34,54,201105
2011-05,29,51.85,28,54,201105
2011-05,30,61.11,33,54,201105
2011-05,31,72.22,39,54,201105
2011-05,32,51.85,28,54,201105
2011-05,33,33.33,18,54,201105
2011-05,34,50.0,27,54,201105
2011-05,35,46.3,25,54,201105
2011-05,36,46.3,25,54,201105
2011-05,37,74.07,40,54,201105
2011-05,38,46.3,25,54,201105
2011-05,39,70.37,38,54,201105
2011-05,40,81.48,44,54,201105
2011-05,41,57.41,31,54,201105
2011-05,42,79.63,43,54,201105
2011-05,43,74.07,40,54,201105
2011-05,44,0.0,0,54,201105
2011-05,45,0.0,0,54,201105
2011-05,46,0.0,0,54,201105
2011-05,47,0.0,0,54,201105
2011-06,0,100.0,83,83,201106
2011-06,1,19.28,16,83,201106
2011-06,2,45.78,38,83,201106
2011-06,3,50.6,42,83,201106
2011-06,4,40.96,34,83,201106
2011-06,5,56.63,47,83,201106
2011-06,6,53.01,44,83,201106
2011-06,7,24.1,20,83,201106
2011-06,8,34.94,29,83,201106
2011-06,9,44.58,37,83,201106
2011-06,10,31.33,26,83,201106
2011-06,11,34.94,29,83,201106
2011-06,12,55.42,46,83,201106
2011-06,13,36.14,30,83,201106
2011-06,14,43.37,36,83,201106
2011-06,15,55.42,46,83,201106
2011-06,16,39.76,33,83,201106
2011-06,17,66.27,55,83,201106
2011-06,18,50.6,42,83,201106
2011-06,19,39.76,33,83,201106
2011-06,20,30.12,25,83,201106
2011-06,21,37.35,31,83,201106
2011-06,22,39.76,33,83,201106
2011-06,23,42.17,35,83,201106
2011-06,24,57.83,48,83,201106
2011-06,25,50.6,42,83,201106
2011-06,26,61.45,51,83,201106
2011-06,27,61.45,51,83,201106
2011-06,28,43.37,36,83,201106
2011-06,29,63.86,53,83,201106
2011-06,30,68.67,57,83,201106
2011-06,31,50.6,42,83,201106
2011-06,32,44.58,37,83,201106
2011-06,33,43.37,36,83,201106
2011-06,34,55.42,46,83,201106
2011-06,35,62.65,52,83,201106
2011-06,36,67.47,56,83,201106
2011-06,37,43.37,36,83,201106
2011-06,38,66.27,55,83,201106
2011-06,39,68.67,57,83,201106
2011-06,40,68.67,57,83,201106
2011-06,41,72.29,60,83,201106
2011-06,42,72.29,60,83,201106
2011-06,43,0.0,0,83,201106
2011-06,44,0.0,0,83,201106
2011-06,45,0.0,0,83,201106
2011-06,46,0.0,0,83,201106
2011-06,47,0.0,0,83,201106
2011-07,0,100.0,28,28,201107
2011-07,1,64.29,18,28,201107
2011-07,2,50.0,14,28,201107
2011-07,3,35.71,10,28,201107
2011-07,4,53.57,15,28,201107
2011-07,5,50.0,14,28,201107
2011-07,6,39.29,11,28,201107
2011-07,7,10.71,3,28,201107
2011-07,8,17.86,5,28,201107
2011-07,9,32.14,9,28,201107
2011-07,10,39.29,11,28,201107
2011-07,11,46.43,13,28,201107
2011-07,12,39.29,11,28,201107
2011-07,13,53.57,15,28,201107
2011-07,14,42.86,12,28,201107
2011-07,15,50.0,14,28,201107
2011-07,16,60.71,17,28,201107
2011-07,17,42.86,12,28,201107
2011-07,18,35.71,10,28,201107
2011-07,19,32.14,9,28,201107
2011-07,20,57.14,16,28,201107
2011-07,21,35.71,10,28,201107
2011-07,22,46.43,13,28,201107
2011-07,23,64.29,18,28,201107
2011-07,24,39.29,11,28,201107
2011-07,25,71.43,20,28,201107
2011-07,26,75.0,21,28,201107
2011-07,27,67.86,19,28,201107
2011-07,28,53.57,15,28,201107
2011-07,29,64.29,18,28,201107
2011-07,30,53.57,15,28,201107
2011-07,31,28.57,8,28,201107
2011-07,32,46.43,13,28,201107
2011-07,33,39.29,11,28,201107
2011-07,34,46.43,13,28,201107
2011-07,35,53.57,15,28,201107
2011-07,36,53.57,15,28,201107
2011-07,37,67.86,19,28,201107
2011-07,38,67.86,19,28,201107
2011-07,39,42.86,12,28,201107
2011-07,40,85.71,24,28,201107
2011-07,41,71.43,20,28,201107
2011-07,42,0.0,0,28,201107
2011-07,43,0.0,0,28,201107
2011-07,44,0.0,0,28,201107
2011-07,45,0.0,0,28,201107
2011-07,46,0.0,0,28,201107
2011-07,47,0.0,0,28,201107
2011-08,0,100.0,27,27,201108
2011-08,1,48.15,13,27,201108
2011-08,2,40.74,11,27,201108
2011-08,3,44.44,12,27,201108
2011-08,4,62.96,17,27,201108
2011-08,5,40.74,11,27,201108
2011-08,6,25.93,7,27,201108
2011-08,7,18.52,5,27,201108
2011-08,8,37.04,10,27,201108
2011-08,9,33.33,9,27,201108
2011-08,10,37.04,10,27,201108
2011-08,11,29.63,8,27,201108
2011-08,12,40.74,11,27,201108
2011-08,13,55.56,15,27,201108
2011-08,14,77.78,21,27,201108
2011-08,15,62.96,17,27,201108
2011-08,16,55.56,15,27,201108
2011-08,17,22.22,6,27,201108
2011-08,18,29.63,8,27,201108
2011-08,19,55.56,15,27,201108
2011-08,20,51.85,14,27,201108
2011-08,21,33.33,9,27,201108
2011-08,22,62.96,17,27,201108
2011-08,23,48.15,13,27,201108
2011-08,24,59.26,16,27,201108
2011-08,25,77.78,21,27,201108
2011-08,26,51.85,14,27,201108
2011-08,27,81.48,22,27,201108
2011-08,28,70.37,19,27,201108
2011-08,29,37.04,10,27,201108
2011-08,30,44.44,12,27,201108
2011-08,31,40.74,11,27,201108
2011-08,32,37.04,10,27,201108
2011-08,33,51.85,14,27,201108
2011-08,34,66.67,18,27,201108
2011-08,35,51.85,14,27,201108
2011-08,36,66.67,18,27,201108
2011-08,37,62.96,17,27,201108
2011-08,38,74.07,20,27,201108
2011-08,39,77.78,21,27,201108
2011-08,40,81.48,22,27,201108
2011-08,41,0.0,0,27,201108
2011-08,42,0.0,0,27,201108
2011-08,43,0.0,0,27,201108
2011-08,44,0.0,0,27,201108
2011-08,45,0.0,0,27,201108
2011-08,46,0.0,0,27,201108
2011-08,47,0.0,0,27,201108
2011-09,0,100.0,23,23,201109
2011-09,1,34.78,8,23,201109
2011-09,2,56.52,13,23,201109
2011-09,3,60.87,14,23,201109
2011-09,4,17.39,4,23,201109
2011-09,5,17.39,4,23,201109
2011-09,6,21.74,5,23,201109
2011-09,7,34.78,8,23,201109
2011-09,8,34.78,8,23,201109
2011-09,9,69.57,16,23,201109
2011-09,10,52.17,12,23,201109
2011-09,11,56.52,13,23,201109
2011-09,12,69.57,16,23,201109
2011-09,13,30.43,7,23,201109
2011-09,14,43.48,10,23,201109
2011-09,15,65.22,15,23,201109
2011-09,16,43.48,10,23,201109
2011-09,17,13.04,3,23,201109
2011-09,18,34.78,8,23,201109
2011-09,19,34.78,8,23,201109
2011-09,20,43.48,10,23,201109
2011-09,21,47.83,11,23,201109
2011-09,22,60.87,14,23,201109
2011-09,23,65.22,15,23,201109
2011-09,24,65.22,15,23,201109
2011-09,25,56.52,13,23,201109
2011-09,26,60.87,14,23,201109
2011-09,27,60.87,14,23,201109
2011-09,28,47.83,11,23,201109
2011-09,29,47.83,11,23,201109
2011-09,30,52.17,12,23,201109
2011-09,31,43.48,10,23,201109
2011-09,32,56.52,13,23,201109
2011-09,33,65.22,15,23,201109
2011-09,34,47.83,11,23,201109
2011-09,35,65.22,15,23,201109
2011-09,36,65.22,15,23,201109
2011-09,37,60.87,14,23,201109
2011-09,38,86.96,20,23,201109
2011-09,39,78.26,18,23,201109
2011-09,40,0.0,0,23,201109
2011-09,41,0.0,0,23,201109
2011-09,42,0.0,0,23,201109
2011-09,43,0.0,0,23,201109
2011-09,44,0.0,0,23,201109
2011-09,45,0.0,0,23,201109
2011-09,46,0.0,0,23,201109
2011-09,47,0.0,0,23,201109
2011-10,0,100.0,13,13,201110
2011-10,1,61.54,8,13,201110
2011-10,2,46.15,6,13,201110
2011-10,3,46.15,6,13,201110
2011-10,4,38.46,5,13,201110
2011-10,5,53.85,7,13,201110
2011-10,6,38.46,5,13,201110
2011-10,7,46.15,6,13,201110
2011-10,8,46.15,6,13,201110
2011-10,9,23.08,3,13,201110
2011-10,10,46.15,6,13,201110
2011-10,11,46.15,6,13,201110
2011-10,12,46.15,6,13,201110
2011-10,13,61.54,8,13,201110
2011-10,14,53.85,7,13,201110
2011-10,15,23.08,3,13,201110
2011-10,16,38.46,5,13,201110
2011-10,17,23.08,3,13,201110
2011-10,18,38.46,5,13,201110
2011-10,19,46.15,6,13,201110
2011-10,20,61.54,8,13,201110
2011-10,21,46.15,6,13,201110
2011-10,22,61.54,8,13,201110
2011-10,23,92.31,12,13,201110
2011-10,24,38.46,5,13,201110
2011-10,25,61.54,8,13,201110
2011-10,26,69.23,9,13,201110
2011-10,27,38.46,5,13,201110
2011-10,28,23.08,3,13,201110
2011-10,29,38.46,5,13,201110
2011-10,30,46.15,6,13,201110
2011-10,31,46.15,6,13,201110
2011-10,32,69.23,9,13,201110
2011-10,33,61.54,8,13,201110
2011-10,34,61.54,8,13,201110
2011-10,35,69.23,9,13,201110
2011-10,36,61.54,8,13,201110
2011-10,37,76.92,10,13,201110
2011-10,38,69.23,9,13,201110
2011-10,39,0.0,0,13,201110
2011-10,40,0.0,0,13,201110
2011-10,41,0.0,0,13,201110
2011-10,42,0.0,0,13,201110
2011-10,43,0.0,0,13,201110
2011-10,44,0.0,0,13,201110
2011-10,45,0.0,0,13,201110
2011-10,46,0.0,0,13,201110
2011-10,47,0.0,0,13,201110
2011-11,0,100.0,4,4,201111
2011-11,1,75.0,3,4,201111
2011-11,2,50.0,2,4,201111
2011-11,3,25.0,1,4,201111
2011-11,4,0.0,0,4,201111
2011-11,5,25.0,1,4,201111
2011-11,6,100.0,4,4,201111
2011-11,7,25.0,1,4,201111
2011-11,8,50.0,2,4,201111
2011-11,9,50.0,2,4,201111
2011-11,10,75.0,3,4,201111
2011-11,11,75.0,3,4,201111
2011-11,12,25.0,1,4,201111
2011-11,13,25.0,1,4,201111
2011-11,14,50.0,2,4,201111
2011-11,15,25.0,1,4,201111
2011-11,16,25.0,1,4,201111
2011-11,17,75.0,3,4,201111
2011-11,18,75.0,3,4,201111
2011-11,19,50.0,2,4,201111
2011-11,20,50.0,2,4,201111
2011-11,21,50.0,2,4,201111
2011-11,22,50.0,2,4,201111
2011-11,23,75.0,3,4,201111
2011-11,24,100.0,4,4,201111
2011-11,25,75.0,3,4,201111
2011-11,26,25.0,1,4,201111
2011-11,27,0.0,0,4,201111
2011-11,28,25.0,1,4,201111
2011-11,29,50.0,2,4,201111
2011-11,30,75.0,3,4,201111
2011-11,31,75.0,3,4,201111
2011-11,32,25.0,1,4,201111
2011-11,33,75.0,3,4,201111
2011-11,34,50.0,2,4,201111
2011-11,35,0.0,0,4,201111
2011-11,36,100.0,4,4,201111
2011-11,37,25.0,1,4,201111
2011-11,38,0.0,0,4,201111
2011-11,39,0.0,0,4,201111
2011-11,40,0.0,0,4,201111
2011-11,41,0.0,0,4,201111
2011-11,42,0.0,0,4,201111
2011-11,43,0.0,0,4,201111
2011-11,44,0.0,0,4,201111
2011-11,45,0.0,0,4,201111
2011-11,46,0.0,0,4,201111
2011-11,47,0.0,0,4,201111
2011-12,0,100.0,1,1,201112
2011-12,1,100.0,1,1,201112
2011-12,2,100.0,1,1,201112
2011-12,3,0.0,0,1,201112
2011-12,4,0.0,0,1,201112
2011-12,5,0.0,0,1,201112
2011-12,6,100.0,1,1,201112
2011-12,7,100.0,1,1,201112
2011-12,8,100.0,1,1,201112
2011-12,9,100.0,1,1,201112
2011-12,10,100.0,1,1,201112
2011-12,11,100.0,1,1,201112
2011-12,12,0.0,0,1,201112
2011-12,13,0.0,0,1,201112
2011-12,14,0.0,0,1,201112
2011-12,15,100.0,1,1,201112
2011-12,16,100.0,1,1,201112
2011-12,17,100.0,1,1,201112
2011-12,18,0.0,0,1,201112
2011-12,19,0.0,0,1,201112
2011-12,20,0.0,0,1,201112
2011-12,21,100.0,1,1,201112
2011-12,22,0.0,0,1,201112
2011-12,23,100.0,1,1,201112
2011-12,24,100.0,1,1,201112
2011-12,25,100.0,1,1,201112
2011-12,26,0.0,0,1,201112
2011-12,27,0.0,0,1,201112
2011-12,28,100.0,1,1,201112
2011-12,29,0.0,0,1,201112
2011-12,30,100.0,1,1,201112
2011-12,31,100.0,1,1,201112
2011-12,32,0.0,0,1,201112
2011-12,33,0.0,0,1,201112
2011-12,34,100.0,1,1,201112
2011-12,35,0.0,0,1,201112
2011-12,36,100.0,1,1,201112
2011-12,37,0.0,0,1,201112
2011-12,38,0.0,0,1,201112
2011-12,39,0.0,0,1,201112
2011-12,40,0.0,0,1,201112
2011-12,41,0.0,0,1,201112
2011-12,42,0.0,0,1,201112
2011-12,43,0.0,0,1,201112
2011-12,44,0.0,0,1,201112
2011-12,45,0.0,0,1,201112
2011-12,46,0.0,0,1,201112
2011-12,47,0.0,0,1,201112
